t;T1;T2
1;17,7;42,0
2;17,6;42,3
3;17,7;42,6
4;17,7;42,9
5;17,7;43,3
6;17,6;43,6
7;17,7;43,9
8;17,7;44,3
9;17,8;44,5
10;17,8;44,8
11;17,8;45,0
12;17,7;45,2
13;17,7;45,5
14;17,7;45,7
15;17,8;45,8
16;17,8;46,1
17;17,9;46,3
18;17,8;46,4
19;17,9;46,6
20;17,9;46,8
21;17,9;47,0
22;17,9;47,1
23;17,9;47,3
24;18,0;47,4
25;17,9;47,6
26;17,9;47,7
27;18,0;47,8
28;17,9;48,0
29;17,9;48,1
30;17,9;48,2
31;18,0;48,3
32;17,9;48,4
33;18,0;48,5
34;17,9;48,6
35;17,9;48,7
36;17,9;48,8
37;18,0;48,9
38;18,0;48,9
39;18,1;49,0
40;18,1;49,1
41;18,1;49,2
42;18,1;49,3
43;18,1;49,3
44;18,1;49,3
