"f";"V2";"desfase"
1.0;0.00508;1.57
2.0;0.0101;1.56
5.0;0.0255;1.55
10.0;0.0508;1.52
20.0;0.101;1.47
50.1;0.247;1.32
100;0.453;1.10
120;0.521;1.02
141;0.583;0.948
158;0.627;0.893
178;0.670;0.836
191;0.696;0.802
200;0.712;0.778
209;0.728;0.755
219;0.743;0.733
240;0.773;0.687
263;0.801;0.642
282;0.820;0.610
302;0.838;0.578
501;0.931;0.374
1000;0.981;0.194
2000;0.995;0.0983
5010;0.999;0.0392
10000;1.0;0.0197
